scheme_code,scheme_name,fund_house,date,nav
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-01,45.346
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-02,45.261
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-03,45.712
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-04,46.777
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-05,46.623
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-08,46.469
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-09,47.592
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-10,48.153
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-11,47.824
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-12,48.225
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-15,47.9
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-16,47.576
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-17,47.759
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-18,46.417
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-19,45.24
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-22,44.869
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-23,44.202
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-24,44.419
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-25,43.827
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-26,42.917
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-29,43.88
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-30,43.74
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-01-31,43.793
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-01,42.876
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-02,42.536
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-05,42.615
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-06,41.894
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-07,42.139
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-08,41.77
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-09,41.596
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-12,41.23
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-13,42.4
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-14,42.4
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-15,41.741
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-16,42.268
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-19,41.509
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-20,41.648
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-21,40.449
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-22,39.659
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-23,39.785
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-26,40.236
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-27,40.347
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-28,40.286
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-02-29,40.112
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-01,39.24
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-04,38.826
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-05,38.567
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-06,39.191
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-07,39.401
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-08,38.381
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-11,38.576
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-12,38.361
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-13,37.981
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-14,38.339
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-15,38.944
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-18,39.5
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-19,39.014
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-20,38.841
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-21,39.042
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-22,39.626
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-25,39.35
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-26,39.248
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-27,38.61
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-28,37.931
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-03-29,38.404
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-01,39.201
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-02,39.166
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-03,39.768
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-04,39.992
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-05,39.615
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-08,39.839
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-09,40.777
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-10,40.763
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-11,41.739
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-12,40.139
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-15,40.645
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-16,40.706
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-17,40.532
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-18,40.596
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-19,39.411
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-22,39.29
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-23,39.509
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-24,40.402
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-25,40.097
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-26,39.622
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-29,39.333
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-04-30,39.884
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-01,40.09
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-02,39.78
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-03,40.096
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-06,40.162
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-07,40.758
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-08,40.339
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-09,40.15
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-10,39.922
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-13,39.063
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-14,39.245
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-15,39.407
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-16,39.418
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-17,39.287
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-20,38.469
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-21,38.235
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-22,38.047
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-23,37.599
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-24,37.516
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-27,37.751
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-28,38.842
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-29,38.952
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-30,39.111
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-05-31,39.075
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-03,37.974
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-04,37.966
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-05,38.008
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-06,39.447
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-07,39.341
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-10,39.527
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-11,39.514
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-12,38.836
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-13,39.515
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-14,39.971
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-17,40.456
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-18,39.916
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-19,40.773
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-20,39.933
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-21,40.294
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-24,41.648
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-25,41.042
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-26,40.703
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-27,40.772
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-06-28,40.473
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-01,39.551
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-02,39.599
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-03,38.981
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-04,39.267
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-05,38.737
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-08,39.656
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-09,39.201
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-10,39.02
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-11,39.507
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-12,38.792
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-15,38.932
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-16,39.711
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-17,38.772
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-18,38.888
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-19,39.047
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-22,39.516
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-23,38.797
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-24,38.044
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-25,38.351
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-26,38.53
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-29,38.682
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-30,38.892
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-07-31,38.505
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-01,38.647
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-02,38.825
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-05,38.419
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-06,39.517
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-07,39.807
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-08,39.11
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-09,39.505
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-12,38.939
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-13,39.409
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-14,40.108
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-15,39.626
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-16,40.21
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-19,40.468
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-20,40.978
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-21,42.17
MF101,HDFC Large Cap Fund,HDFC Mutual Fund,2024-08-22,42.023
